,add_COBALT2tpp,add_FE2tpp,add_GLYC2Pabcpp,rep_CAt6pp,rep_CBPS,rep_PIuabcpp,rxn00801_c0
Model_79,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_80,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_81,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_82,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_83,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_84,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_85,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_86,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_87,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_88,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Model_89,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_90,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_91,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_92,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_93,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_94,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_95,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_96,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_97,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_98,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_99,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_100,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_101,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_102,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_103,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Model_104,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Model_105,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_106,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_107,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_108,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_109,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_110,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_111,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_112,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_113,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_114,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_115,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Model_116,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_117,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_118,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_119,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_120,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_121,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_122,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_123,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_124,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_125,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_126,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_127,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_128,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_129,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Model_130,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_131,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_132,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_133,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_134,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_135,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_136,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_137,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_138,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_139,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_140,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_141,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_142,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_143,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_144,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_145,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_146,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_147,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_148,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_149,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_150,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
Model_151,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Model_152,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_153,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Model_154,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_155,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_156,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_157,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Model_158,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Model_159,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_160,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Model_161,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_162,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Model_163,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_164,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Model_165,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
Model_166,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_167,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_168,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_169,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_170,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_171,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Model_172,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_173,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_174,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_175,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_176,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_177,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_178,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
Model_179,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_180,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Model_181,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_182,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_183,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_184,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Model_185,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_186,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_187,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_188,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_189,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_190,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_191,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_192,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Model_193,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Model_194,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
