,add_COBALT2tpp,add_FE2tpp,add_GLYC2Pabcpp,rep_CAt6pp,rep_CBPS,rep_PIuabcpp,rxn00801_c0
Model_345,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_346,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_347,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_348,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_349,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_350,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_351,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_352,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_353,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_354,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_355,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_356,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_357,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_358,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_359,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_360,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_361,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Model_362,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_363,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_364,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_365,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_366,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_367,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_368,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_369,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Model_370,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_371,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_372,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_373,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_374,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_375,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_376,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Model_377,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_378,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_379,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_380,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_381,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_382,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_383,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_384,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_385,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_386,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_387,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_388,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_389,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_390,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_391,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_392,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_393,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_394,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_395,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_396,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_397,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_398,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_399,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Model_400,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_401,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_402,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_403,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_404,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Model_405,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_406,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_407,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_408,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_409,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_410,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_411,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_412,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_413,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_414,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_415,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_416,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_417,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_418,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_419,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_420,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_421,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_422,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_423,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_424,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_425,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_426,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_427,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_428,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_429,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_430,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_431,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_432,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_433,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_434,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Model_435,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_436,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_437,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_438,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_439,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_440,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_441,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_442,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_443,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_444,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_445,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_446,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_447,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_448,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_449,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_450,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_451,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_452,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_453,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_454,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_455,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_456,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_457,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_458,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_459,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_460,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_461,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_462,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Model_463,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_464,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Model_465,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_466,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Model_467,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_468,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_469,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_470,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_471,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_472,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_473,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_474,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_475,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_476,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_477,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_478,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_479,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Model_480,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_481,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_482,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_483,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_484,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_485,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_486,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_487,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_488,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Model_489,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_490,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_491,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_492,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_493,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_494,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_495,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_496,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_497,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_498,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_499,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_500,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
