"","charge","chemicalFormula"
"2213",-1,"C3H5O2S"
"2214",0,"C6H4N4O4"
"2215",-1,"C6H3N4O4"
"2216",-1,"C3H8O6P"
"2217",-1,"C23H40O6P"
"2218",-1,"C8H7O4"
"2219",0,"C21H32O3"
"2220",0,"C21H30O3"
"2221",0,"C21H30O3"
"2222",0,"C21H30O3"
"2223",0,"C21H28O2"
"2224",-2,"C6H11O10P"
"2225",-1,"C6H11O7"
"2226",0,"C4H9NO"
"2227",0,"C5H11NO"
"2228",-4,"C33H54N7O18P3S"
"2229",1,"C9H13N2O2"
"2230",0,"C34H57N5O23"
"2231",-1,"C40H67N5O31P"
"2232",0,"C37H67NO19"
"2233",0,"C45H80N2O24"
"2234",-1,"C6H7N2O3"
"2235",0,"C4H9NO2"
"2236",-1,"C9H15N2O5"
"2237",-2,"C7H7NO4"
"2238",0,"C24H38O4"
"2239",0,"C8H18O"
"2240",-1,"C16H21O4"
"2241",-4,"C26H40N7O18P3S"
"2242",0,"C15H24N2O2"
"2243",0,"C20H30N2O3"
"2244",-2,"C4H7O8P"
"2245",-2,"C4H5O7P"
"2246",-1,"C8H15N3O8P"
"2247",-1,"C8H13N3O7P"
"2248",-2,"C9H12N3O9P"
"2249",-3,"C4H4O8P"
"2250",0,"C3H8N2O2"
"2251",-1,"C5H7N2O5"
"2252",0,"C10H13NO3"
"2253",-1,"C10H12NO6S"
"2254",-1,"C11H18NO10"
"2255",-2,"C20H29N4O17P"
"2256",-2,"C9H11NO6"
"2257",0,"C40H64"
"2258",1,"C8H20N6O7P"
"2259",-2,"C16H24N2O15P2"
"2260",1,"C14H30N6O11P"
"2261",-4,"C25H38N7O18P3S"
"2262",0,"C9H6N2O3"
"2263",0,"C9H8N2O2"
"2264",0,"C8H9NO3"
"2265",-2,"C10H15N3O10P2"
"2266",-1,"C3H8O5P"
"2267",-1,"C3H6O5P"
"2268",-1,"C35H33MgN4O4"
"2269",-1,"C11H19N4O10P2"
"2270",-1,"C23H36NO5S"
"2271",-1,"C23H36NO6S"
"2272",0,"C6H5ClO2"
"2273",-2,"C6H3ClO4"
"2274",-1,"C6H4ClO4"
"2275",0,"C27H44O2"
"2276",-2,"C15H23N3O14P2"
"2277",-2,"C15H23N3O14P2"
"2278",0,"C13H24O10"
"2279",0,"C7H14O6"
"2280",0,"C14H13NO2"
"2281",0,"C14H13NO2"
"2282",-2,"C15H8O5"
"2283",-2,"C7H4O6"
"2284",0,"C9H11N5O3"
"2285",0,"C14H17NO7"
"2286",1,"C9H14NO2"
"2287",0,"C14H15N3"
"2288",0,"C14H15N3O"
"2289",0,"C8H10O2"
"2290",0,"C16H17NO3"
"2291",0,"C8H9NO2"
"2292",-1,"C7H11O3"
"2293",-1,"C7H9O3"
"2294",0,"C19H30O2"
"2295",0,"C19H28O2"
"2296",-1,"C4H8O6PS"
"2297",0,"C4H8O3S"
"2298",-2,"C8H13N2O9P"
"2299",0,"C19H32O2"
"2300",0,"C19H30O2"
"2301",0,"C16H19NO7"
"2302",0,"C16H19NO7"
"2303",0,"C22H29NO12"
"2304",0,"C21H27NO11"
"2305",0,"C9H10BrNO2S"
"2306",-1,"C9H6BrO3S"
"2307",-1,"C5H8NO2S"
"2308",-1,"C5H6NO2S"
"2309",-1,"C16H17O8"
"2310",0,"C19H32O2"
"2311",-1,"C6H3Cl2O4"
"2312",-2,"C6H2Cl2O4"
"2313",-1,"C9H14N2O9P"
"2314",0,"C4H6N2O2"
"2315",-1,"C2H5O3S2"
"2316",-3,"C31H44N6O16P"
"2317",-1,"C3H7O3S2"
"2318",-1,"C7H2Br2NO"
"2319",-2,"C7H2Br2O3"
"2320",0,"C8H10N2O4"
"2321",0,"C5H5NO2"
"2322",-1,"C6H9O6"
"2323",-1,"C25H37O8"
"2324",-1,"C25H31O9"
"2325",-1,"C25H33O9"
"2326",-1,"C24H21O11"
"2327",0,"C27H44O3"
"2328",0,"C33H54O8"
"2329",-2,"C9H11NO6"
"2330",-3,"C11H12NO8"
"2331",0,"C13H16N2O6"
"2332",-1,"C7H9O4"
"2333",0,"C12H16O3"
"2334",0,"C12H14O3"
"2335",-1,"C42H70N6O31P"
"2336",-1,"C34H57N5O26P"
"2337",-1,"C5H8NO3"
"2338",-2,"C9H13N4O8P"
"2339",0,"C4H6N4O"
"2340",-3,"C8H5O7"
"2341",-2,"C12H14O12"
"2342",0,"C9H16O5"
"2343",0,"C9H14O5"
"2344",0,"C4H12N3O4P"
"2345",-2,"C4H11N3O7P2"
"2346",-2,"C8H9NO6"
"2347",-1,"C5H7O4"
"2348",-2,"C15H8O8"
"2349",-1,"C16H11O8"
"2350",-3,"C7H3O7"
"2351",-4,"C30H35N9O12"
"2352",-4,"C29H33N9O12"
"2353",0,"C13H20O3"
"2354",0,"C13H18O3"
"2355",-2,"C6H4O5"
"2356",-2,"C6H11O7PS"
"2357",-1,"C14H10NO4"
"2358",-1,"C15H12NO4"
"2359",-3,"C7H5O6"
"2360",0,"C28H46O"
"2361",0,"C8H13N3O2"
"2362",0,"C9H15N3O2"
"2363",-1,"C16H26N3O14P2"
"2364",0,"C5H9NO4"
"2365",0,"C5H9NO4"
"2366",-1,"C5H4NO2"
"2367",-1,"C24H31O8"
"2368",-1,"C32H44NO13"
"2369",-4,"C29H32N5O18P"
"2370",-3,"C31H42N6O16P"
"2371",-4,"C29H34N5O18P"
"2372",-2,"C4H7O6P"
"2373",-1,"C9H10NO5"
"2374",-3,"C17H24N3O20P2S"
"2375",-4,"C17H23N3O23P2S2"
"2376",-3,"C7H3O7"
"2377",-1,"C10H13N2O6"
"2378",0,"C10H16N4O4"
"2379",0,"C11H18N4O4"
"2380",-3,"C7H3O7"
"2381",-1,"C29H47O3"
"2382",0,"C28H46O"
"2383",-1,"C26H42NO5"
"2384",-1,"C24H39O4"
"2385",-1,"C26H44NO6S"
"2386",0,"C14H12O2S2"
"2387",0,"C12H10OS2"
"2388",0,"C8H14NO6R"
"2389",0,"C14H24NO11R"
"2390",0,"C34H28O22"
"2391",-1,"C41H31O26"
"2392",0,"C10H21NO6PR"
"2393",-1,"C2H2OR"
"2394",0,"C29H50O"
"2395",0,"C29H50O2"
"2396",0,"C17H14O8"
"2397",0,"C18H16O8"
"2398",0,"C27H46O3"
"2399",-1,"C27H45O4"
"2400",-3,"C48H77N7O19P3S"
"2401",-1,"C7H7O4"
"2402",-1,"C7H7O4"
"2403",-3,"C12H18NO17S2"
"2404",-1,"C5H9O6"
"2405",-1,"C20H31O3"
"2406",-1,"C20H29O3"
"2407",-1,"C43H72O6P"
"2408",0,"C14H9Cl5"
"2409",0,"C14H8Cl4"
"2410",0,"C16H14O4S2"
"2411",0,"C14H12O3S2"
"2412",0,"C26H28O14"
"2413",0,"C17H30N2O13"
"2414",0,"C14H25NO11"
"2415",-1,"C17H27N4O15P2"
"2416",-2,"C17H23N3O16P2"
"2417",0,"C20H35NO16"
"2418",-1,"C25H41N2O19"
"2419",0,"C11H8N2O5"
"2420",0,"C11H8N2O5"
"2421",-4,"C13H22NO10PS3"
"2422",0,"C37H52N2O"
"2423",-2,"C11H20NO7PS"
"2424",0,"C37H50N2O"
"2425",-3,"C48H75N7O19P3S"
"2426",-2,"C43H75N3O20P2"
"2427",-2,"C34H64NO12P"
"2428",-1,"C20H33O5"
"2429",-1,"C20H31O5"
"2430",0,"C14H24NO11R"
"2431",0,"C20H34NO15R"
"2432",-1,"C20H31O5"
"2433",-3,"C15H22N5O15P2"
"2434",-3,"C13H16N4O12P"
"2435",-1,"C20H31O4"
"2436",-1,"C20H31O4"
"2437",-1,"C8H8NO4"
"2438",-3,"C40H62N9O26P2"
"2439",-3,"C40H62N9O26P2"
"2440",-1,"C6H2ClO4"
"2441",-1,"C6H2ClO4"
"2442",0,"C27H42O4"
"2443",0,"C33H52O9"
"2444",0,"C9H9NO5"
"2445",0,"C15H19NO10"
"2446",-3,"C48H77N7O20P3S"
"2447",-2,"C31H51N3O19P2"
"2448",-1,"C29H50N3O18P2"
"2449",-3,"C48H75N7O20P3S"
"2450",0,"C8H7NO3"
"2451",0,"C14H18N2O4"
"2452",0,"C19H24O4"
"2453",-1,"C19H23O6"
"2454",-1,"C9H8NO6"
"2455",-1,"C9H8NO6"
"2456",0,"C10H8ClN3O3"
"2457",-2,"C10H6ClN3O5"
"2458",1,"C42H75N8O22"
"2459",1,"C48H85N8O27"
"2460",-2,"C68H127N2O20P"
"2461",0,"C17H28O3"
"2462",-1,"C16H25O3"
"2463",-1,"C20H31O4"
"2464",-1,"C20H33O5"
"2465",0,"C39H70N2O19"
"2466",0,"C45H80N2O24"
"2467",-4,"C41H61N9O28P2"
"2468",-1,"C29H29O17"
"2469",0,"C24H42O21"
"2470",0,"C32H55NO26"
"2471",-2,"C9H12N5O7P"
"2472",1,"C17H28NO3"
"2473",1,"C17H26NO3"
"2474",-1,"C25H40N2O19R"
"2475",-2,"C36H56N3O27R"
"2476",0,"C22H37N2O16R"
"2477",0,"C30H50N3O21R"
"2478",-4,"C9H14N5O14P3"
"2479",0,"C26H44NO21R"
"2480",0,"C34H57N2O26R"
"2481",-4,"C68H126N2O23P2"
"2482",-5,"C76H137N2O30P2"
"2483",-2,"C67H111N4O39R"
"2484",-3,"C78H127N5O47R"
"2485",-3,"C78H127N5O47R"
"2486",0,"C20H34NO16R"
"2487",0,"C28H47N2O21R"
"2488",0,"C20H34NO16R"
"2489",0,"C28H47N2O21R"
"2490",0,"C4H9NO2"
"2491",0,"C28H48O"
"2492",0,"C28H48O"
"2493",-1,"C6H9O4"
"2494",0,"C6H8N2O"
"2495",0,"C21H32O4"
"2496",0,"C19H26O3"
"2497",-1,"C24H31O9"
"2498",-1,"C15H17O8"
"2499",0,"C6H11NO3"
"2500",0,"C19H17NO4"
"2501",1,"C20H20NO4"
"2502",0,"C17H19NO3"
"2503",0,"C18H21NO3"
"2504",0,"C36H40N2O6"
"2505",0,"C18H21NO3"
"2506",1,"C19H22NO4"
"2507",0,"C19H23NO4"
"2508",0,"C19H21NO4"
"2509",0,"C19H23NO4"
"2510",0,"C20H19NO5"
"2511",0,"C20H19NO6"
"2512",0,"C20H15NO4"
"2513",0,"C20H15NO5"
"2514",1,"C20H14NO4"
"2515",0,"C21H17NO6"
"2516",0,"C22H19NO6"
"2517",0,"C21H17NO5"
"2518",1,"C21H16NO5"
"2519",0,"C13H10O5"
"2520",-1,"C37H53O4"
"2521",-1,"C38H55O4"
"2522",0,"C16H17N"
"2523",0,"C17H19N"
"2524",0,"C17H19NO4"
"2525",0,"C18H21NO4"
"2526",0,"C16H17NO4"
"2527",0,"C17H17N"
"2528",1,"C18H20N"
"2529",0,"C28H49NO7PR"
"2530",-1,"C5H12NO6PR"
"2531",-1,"C25H42NO7PR"
"2532",0,"C21H25NO5"
"2533",0,"C20H22O5"
"2534",0,"C20H20O4"
"2535",1,"C3H6N3"
"2536",0,"C4H5N3O2"
"2537",0,"C9H15N5O4"
"2538",1,"C6H13N2O"
"2539",-4,"C37H62N7O18P3S"
"2540",-4,"C35H58N7O18P3S"
"2541",-4,"C33H52N7O18P3S"
"2542",-4,"C31H50N7O17P3S"
"2543",-4,"C31H50N7O18P3S"
"2544",-4,"C31H48N7O17P3S"
"2545",-4,"C29H46N7O18P3S"
"2546",-4,"C29H44N7O18P3S"
"2547",-4,"C27H42N7O17P3S"
"2548",-4,"C27H42N7O18P3S"
"2549",-4,"C27H40N7O17P3S"
"2550",-3,"C33H51N7O17P3S"
"2551",-3,"C33H51N7O17P3S"
"2552",0,"C19H26O3"
"2553",0,"C19H24O3"
"2554",1,"C22H18NO6"
"2555",0,"C5H11NO2Se"
"2556",0,"CH4Se"
"2557",1,"C15H23N6O5Se"
"2558",1,"C6H14NO2Se"
"2559",-2,"C13H13NO6"
"2560",-1,"C10H10NO4"
"2561",-2,"C16H23N5O15P2"
"2562",-2,"C16H21N5O15P2"
"2563",-1,"C5H9O6"
"2564",0,"C27H48O3"
"2565",0,"C27H44O"
"2566",0,"C27H48O3"
"2567",0,"C27H48O2"
"2568",0,"C27H48O3"
"2569",-3,"C48H77N7O20P3S"
"2570",-3,"C48H75N7O20P3S"
"2571",-3,"C45H71N7O19P3S"
"2572",-3,"C48H77N7O21P3S"
"2573",0,"C27H46O2"
"2574",0,"C27H46O3"
"2575",0,"C27H44O3"
"2576",-1,"C26H42NO5"
"2577",0,"C21H32O5"
"2578",0,"C21H34O5"
"2579",0,"C21H34O5"
"2580",0,"C21H36O5"
"2581",0,"C21H32O5"
"2582",0,"C21H34O4"
"2583",0,"C21H32O4"
"2584",0,"C21H32O4"
"2585",0,"C21H30O4"
"2586",0,"C21H34O4"
"2587",0,"C21H34O2"
"2588",0,"C21H36O2"
"2589",0,"C21H30O4"
"2590",0,"C27H46O3"
"2591",0,"C27H46O3"
"2592",-1,"C14H24N3O6S"
"2593",-1,"C6H7N2O3"
"2594",0,"C9H15N3O2S"
"2595",-1,"C6H5N2O2S"
"2596",0,"C8H10O4"
"2597",0,"C9H12O4"
"2598",-1,"C8H7O5"
"2599",0,"C8H5NO2"
"2600",-1,"C9H9O5"
"2601",0,"C9H10O3"
"2602",0,"C9H10O4"
"2603",0,"C27H30O16"
"2604",0,"C15H14O6"
"2605",0,"C15H12O7"
"2606",-1,"C10H8NO3"
"2607",-1,"C11H10NO3"
"2608",0,"C9H7NO2"
"2609",1,"C9H13N2O2"
"2610",0,"C9H7NO2"
"2611",0,"C10H12N2O4"
"2612",-2,"C10H7NO7"
"2613",-1,"C10H8NO5"
"2614",-1,"C10H6NO4"
"2615",0,"C9H7NO2"
"2616",-1,"C9H8NO5"
"2617",-2,"C9H7NO6"
"2618",-1,"C21H41N2O5PR"
"2619",3,"C10H13N5O10PSe"
"2620",1,"C10H12N5O13P2Se"
"2621",4,"H2O4Se"
"2622",0,"C7H14N2O4Se"
"2623",0,"C14H20N6O5Se"
"2624",0,"C4H9NO2Se"
"2625",0,"C6H11NO4"
"2626",-1,"C8H12NO6"
"2627",-4,"C36H40N4O8"
"2628",0,"C36H54O"
"2629",0,"C36H54O2"
"2630",0,"C37H56O2"
"2631",0,"C37H54O3"
"2632",0,"C38H56O3"
"2633",-1,"C38H55O4"
"2634",-1,"C47H69O3"
"2635",0,"C46H70O"
"2636",0,"C46H70O2"
"2637",0,"C47H72O2"
"2638",0,"C47H70O3"
"2639",0,"C48H72O3"
"2640",-1,"C6H7N2O2"
"2641",-1,"C9H7O3"
"2642",0,"C9H6O2"
"2643",-3,"C86H140N7O21P2"
"2644",-3,"C94H153N8O26P2"
"2645",-2,"C94H155N9O25P2"
"2646",-3,"C94H153N8O26P2"
"2647",-2,"C94H155N9O25P2"
"2648",-4,"C87H139N7O23P2"
"2649",-4,"C95H152N8O28P2"
"2650",-3,"C95H154N9O27P2"
"2651",0,"C16H12O6"
"2652",-2,"C15H8O6"
"2653",0,"C15H14O8"
"2654",-2,"C15H8O7"
"2655",1,"C20H28R"
"2656",1,"C20H28R"
"2657",0,"C20H26O"
"2658",0,"C20H26O"
"2659",-4,"C9H14N5O14P3"
"2660",-1,"C20H29O4"
"2661",-1,"C20H29O4"
"2662",-1,"C20H29O4"
"2663",0,"C3H4O"
"2664",-1,"C5H7O3"
"2665",-2,"C7H10O5"
"2666",-1,"C6H11O4"
"2667",-1,"C6H9O4"
"2668",-6,"C84H148N2O37P2"
"2669",-2,"C6H4O5"
"2670",0,"C14H20O7"
"2671",-2,"C4H8NO7P"
"2672",0,"C4H9NO4"
"2673",1,"C3H10NO2"
"2674",0,"C16H18N2O"
"2675",0,"C20H32"
"2676",-2,"C20H26O5"
"2677",-1,"C6H9O3"
"2678",-2,"C6H8O4"
"2679",0,"C16H30O"
"2680",-2,"C53H88N3O29R"
"2681",-2,"C61H101N4O34R"
"2682",-2,"C67H111N4O39R"
"2683",0,"C45H79N2O23R"
"2684",-4,"C89H143N6O55R"
"2685",0,"C4H4O"
"2686",0,"C4H6O"
"2687",-4,"C11H16N5O13P3"
"2688",0,"C18H21NO3"
"2689",0,"C18H19NO3"
"2690",0,"C18H19NO3"
"2691",0,"C10H14N2"
"2692",1,"C5H10N"
"2693",0,"C8H15NO"
"2694",0,"C13H24N2O"
"2695",-2,"C12H15O10P"
"2696",-2,"C13H17O10P"
"2697",-1,"C10H11N5O7P"
"2698",-1,"C10H7O4"
"2699",0,"C42H72O36"
"2700",0,"C36H62O31"
"2701",-2,"C6H13O9P"
"2702",-1,"C6H12O9P"
"2703",-2,"C8H4O4"
"2704",-7,"C44H49N4O16"
"2705",-7,"C45H53N4O14"
"2706",-7,"C44H47N4O16"
"2707",0,"C6H5ClO3"
"2708",-2,"C6H3ClO5"
"2709",0,"C9H7NO"
"2710",0,"C10H9NO2"
"2711",-1,"C9H8NO3"
"2712",-1,"C6H6NO3S"
"2713",-1,"C6H5O5S"
"2714",0,"C9H7NO"
"2715",0,"C9H9NO3"
"2716",0,"C9H7NO2"
"2717",0,"C27H46O2"
"2718",0,"C27H46O3"
"2719",0,"C16H17NO3"
"2720",0,"C17H19NO3"
"2721",-3,"C4H2O7P"
"2722",-2,"C3H3O5P"
"2723",0,"C26H45NO21"
"2724",0,"C14H25NO11"
"2725",0,"C12H22O11"
"2726",-1,"C8H5NO3R"
"2727",0,"H2NR"
"2728",-1,"C8H15NO9P"
"2729",0,"C6H14NO8P"
"2730",0,"C3H8N4O2"
"2731",0,"C2H6N2O2"
"2732",-1,"C3H6N3O3"
"2733",1,"C2H8N3O"
"2734",-2,"C4H3O4R"
"2735",-1,"C3H4O2R"
"2736",0,"C21H32O3"
"2737",0,"C21H30O2"
"2738",-2,"C17H25N5O16P2"
"2739",-2,"C17H25N5O16P2"
"2740",-4,"C45H56N4O14"
"2741",-6,"C43H44N4O17"
"2742",-7,"C44H45N4O17"
"2743",-7,"C45H47N4O17"
"2744",-2,"C3H7O4P"
"2745",-2,"C3H5O4P"
"2746",-2,"C28H42N2O8S"
"2747",0,"C2H6OS"
"2748",0,"C35H38N2O6"
"2749",0,"C18H21NO4"
"2750",0,"C17H19NO4"
"2751",0,"C17H19NO4"
"2752",0,"C18H21NO4"
"2753",0,"C36H40N2O6"
"2754",0,"C18H21NO4"
"2755",-5,"C45H56CoN6O12"
"2756",-4,"C55H68CoN11O15"
"2757",1,"C58H84CoN16O11"
"2758",-1,"C58H83CoN16O14P"
"2759",-1,"C68H95CoN21O21P2"
"2760",0,"C72H100CoN18O17P"
"2761",0,"C55H76CoN15O11"
"2762",2,"Co"
"2763",-2,"C45H60N6O12"
"2764",-4,"C45H56CoN6O12"
"2765",-1,"C14H18N3O6S"
"2766",-1,"C15H19N4O8S"
"2767",0,"C10H14O"
"2768",0,"C10H12O"
"2769",-1,"C10H11O2"
"2770",-1,"C6H5O4"
"2771",0,"C12H12O2"
"2772",-1,"C10H13O4"
"2773",-1,"C10H11O4"
"2774",0,"C12H11ClO2"
"2775",0,"C12H9ClO2"
"2776",0,"C6H6Cl2O2"
"2777",0,"C6H4Cl2O2"
"2778",-1,"C12H8ClO4"
"2779",-2,"C10H10O6"
"2780",0,"C6H6O2"
"2781",0,"C14H11Cl5O2"
"2782",0,"C14H9Cl5O2"
"2783",0,"C14H8Cl4O2"
"2784",-1,"C14H7Cl4O4"
"2785",-1,"C14H8Cl5O4"
"2786",0,"C10H14NO5PS"
"2787",0,"C10H14NO6P"
"2788",0,"C12H9Cl"
"2789",0,"C12H10"
"2790",0,"C10H14"
"2791",0,"C6H5ClO2"
"2792",-1,"C7H7O4S"
"2793",-1,"C7H5O4S"
"2794",-1,"C8H7O4"
"2795",-3,"C28H35Cl2N7O17P3S"
"2796",-1,"C6H5O5S"
"2797",-3,"C6H3O7S"
"2798",-1,"C7H7O3S"
"2799",0,"C8H10O"
"2800",0,"C8H8O"
"2801",0,"C2H4Cl2"
"2802",0,"C2H5ClO"
"2803",0,"C2H3ClO"
"2804",-1,"C2H2ClO2"
"2805",0,"C8H10"
"2806",-1,"C8H7O2"
"2807",-1,"C8H9O4"
"2808",0,"C7H8O2"
"2809",-1,"C7H7O4"
"2810",-1,"C6H7O3"
"2811",-1,"C6H9O4"
"2812",-2,"C7H6O4"
"2813",-1,"C15H19N4O9S"
"2814",-1,"C16H21N4O9S"
"2815",-4,"C28H42N7O20P3S"
"2816",-4,"C28H40N7O20P3S"
"2817",0,"C17H30N2O12S"
"2818",0,"C18H30N2O13S"
"2819",0,"C6H8O3"
"2820",-1,"C8H9O4"
"2821",0,"C12H10O2S"
"2822",0,"C12H8O2S"
"2823",-4,"C28H40N7O19P3S"
"2824",0,"C10H11NO3"
"2825",0,"C10H9NO3"
"2826",0,"C8H12O2"
"2827",0,"C8H10O2"
"2828",-1,"C8H9O4"
"2829",-1,"C7H11O4"
"2830",-1,"C7H9O4"
"2831",-1,"C11H9N2O2"
"2832",0,"C30H42O"
"2833",0,"C22H30O"
"2834",0,"C8H12O2"
"2835",1,"C2H6NO"
"2836",-3,"C35H57N7O17P3S"
"2837",-3,"C35H57N7O17P3S"
"2838",-1,"C9H18O11P"
"2839",-3,"C37H63N7O17P3S"
"2840",-3,"C40H67N7O18P3S"
"2841",0,"C11H14O4"
"2842",1,"C5H12NO"
"2843",-4,"C25H38N7O18P3S"
"2844",-2,"C6H11O9P"
"2845",0,"C40H56"
"2846",0,"C40H56"
"2847",0,"C8H10O"
"2848",0,"C8H8O"
"2849",0,"C8H10O"
"2850",0,"C8H8O"
"2851",0,"C13H10O"
"2852",0,"C13H8O"
"2853",0,"C2H4O"
"2854",-2,"C7H6O5"
"2855",0,"C8H10O2"
"2856",0,"C8H8O2"
"2857",0,"C6H11NO"
"2858",0,"C9H16N4O4"
"2859",0,"C8H14N2O4"
"2860",0,"C3H3N"
"2861",-1,"C12H9O5"
"2862",-1,"C12H9O6"
"2863",-1,"C8H7O4"
"2864",-1,"C9H11O4"
"2865",-1,"C12H10NO4"
"2866",-1,"C8H9O4"
"2867",0,"C3H4Cl2"
"2868",0,"C3H5ClO"
"2869",0,"C3H4Cl2"
"2870",0,"C3H5ClO"
"2871",0,"C6H4Cl4"
"2872",0,"C6H5Cl3O"
"2873",-4,"C25H36N7O19P3S"
"2874",-2,"C7H6O5"
"2875",-1,"C6H7O3"
"2876",-2,"C8H4O5"
"2877",0,"C13H10Cl2"
"2878",-1,"C14H9Cl2O2"
"2879",0,"C3H5NO"
"2880",0,"C2H2"
"2881",1,"C4H12NO2"
"2882",1,"C6H16NO3"
"2883",0,"C14H10Cl4"
"2884",0,"C14H9Cl3"
"2885",0,"C14H11Cl3"
"2886",0,"C14H10Cl2"
"2887",0,"C6H6Cl6"
"2888",0,"C6H5Cl5"
"2889",0,"C5H4O2"
"2890",-2,"C6H2Cl2O4"
"2891",-2,"C6H4O7S"
"2892",0,"C6H6Cl2O2"
"2893",0,"C6H4Cl2O2"
"2894",-1,"C6H3O3"
"2895",0,"C6H5NO"
"2896",0,"C6H5NO2"
"2897",-1,"C6HCl4O2"
"2898",-1,"C6H2Cl3O2"
"2899",-1,"C6H3Cl2O2"
"2900",-1,"C6H4ClO4"
"2901",0,"C13H10O2"
"2902",-1,"C13H9O4"
"2903",0,"C12H10O3"
"2904",0,"C13H10O2"
"2905",-1,"C13H9O4"
"2906",-1,"C12H9O4"
"2907",0,"C12H9N"
"2908",0,"C12H11NO2"
"2909",0,"C8H8"
"2910",-1,"C8H4Cl3O3"
"2911",0,"C6H3Cl3O"
"2912",-1,"C8H5Cl2O3"
"2913",-1,"C4H10O3PS"
"2914",0,"C8H10"
"2915",0,"C8H10O"
"2916",0,"C8H8O"
"2917",0,"C8H8O2"
"2918",-1,"C8H7O2"
"2919",0,"C6H4Cl2"
"2920",0,"C12H8O"
"2921",0,"C12H8O2"
"2922",0,"C6H5ClO"
"2923",0,"C8H10"
"2924",0,"C8H10"
"2925",0,"C2H4"
"2926",0,"C6H5ClO3"
"2927",-1,"C6H3Cl2O"
"2928",-1,"C6H2Cl3O"
"2929",-1,"C7H3Cl2O2"
"2930",-1,"C9H7O3"
"2931",-3,"C30H39N7O18P3S"
"2932",0,"C11H8O4"
"2933",-1,"C22H23N2O8"
"2934",-1,"C22H23N2O9"
"2935",0,"C20H15NO7"
"2936",-1,"C20H14NO8"
"2937",0,"C9H18N4O4"
"2938",0,"C9H16N4O3"
"2939",0,"C8H12N2O4"
"2940",0,"C8H10N2O4"
"2941",0,"C14H12Cl2O"
"2942",0,"C6H3Cl3"
"2943",0,"C6H4Cl2O"
"2944",0,"C10H16NO3PS"
"2945",-1,"C4H10O4P"
"2946",-1,"C8H6ClO3"
"2947",-1,"C5H5O3"
"2948",-2,"C16H22N2O15P2"
"2949",-2,"C16H20N2O14P2"
"2950",1,"C37H68NO13"
"2951",1,"C37H66NO14"
"2952",1,"C36H66NO13"
"2953",-1,"C16H26N3O13P2"
"2954",-1,"C18H30N3O13P2"
"2955",-2,"C16H22N2O14P2"
"2956",-2,"C16H22N2O14P2"
"2957",-2,"C17H24N2O14P2"
"2958",0,"C28H50O10"
"2959",-2,"C17H26N2O14P2"
"2960",0,"C21H38O7"
"2961",1,"C36H66NO12"
"2962",1,"C37H68NO12"
"2963",0,"C6H6Cl2"
"2964",0,"C6H5Cl"
"2965",0,"C10H8O2"
"2966",0,"C9H8O2"
"2967",0,"C13H10"
"2968",0,"C13H10O3"
"2969",0,"C13H8O2"
"2970",0,"C10H8O2"
"2971",0,"C6H8O2"
"2972",1,"C7H18N4O7P"
"2973",-2,"C20H34O7P2"
"2974",0,"C8H15N5O"
"2975",0,"C6H10N4O2"
"2976",0,"C3H3N3O3"
"2977",1,"C3H10N"
"2978",0,"C2H5N3O2"
"2979",0,"C8H14ClN5"
"2980",0,"C5H8ClN5"
"2981",0,"C6H10ClN5"
"2982",-2,"C63H103NO12P2"
"2983",-2,"C71H116N2O17P2"
"2984",0,"C3H4ClN5"
"2985",0,"C3H3ClN4O"
"2986",0,"C5H8N4O2"
"2987",0,"C5H9N5O"
"2988",-4,"C32H42N7O20P3S"
"2989",-4,"C32H40N7O20P3S"
"2990",-3,"C25H39N7O18P3S"
"2991",0,"C14H24NO11R"
"2992",-1,"C25H40N2O19R"
"2993",-3,"C28H41N7O18P3S"
"2994",-3,"C28H39N7O18P3S"
"2995",-3,"C28H43N7O18P3S"
"2996",-3,"C28H41N7O18P3S"
"2997",-2,"C11H10O4"
"2998",-4,"C32H42N7O19P3S"
"2999",0,"C7H7NO"
"3000",0,"C7H5N"
"3001",-3,"C28H41N7O19P3S"
"3002",-3,"C28H39N7O17P3S"
"3003",-4,"C32H40N7O19P3S"
"3004",-3,"C28H41N7O17P3S"
"3005",-3,"C28H43N7O19P3S"
"3006",-1,"C6H6O4P"
"3007",0,"C5H12O5"
"3008",-3,"C28H39N7O17P3S"
"3009",-3,"C28H39N7O17P3S"
"3010",-2,"C40H66O7P2"
"3011",-2,"C35H58O7P2"
"3012",0,"C10H16"
"3013",-2,"C30H50O7P2"
"3014",-2,"C25H42O7P2"
"3015",-1,"C37H53O3"
"3016",0,"C55H72MgN4O5"
"3017",0,"C20H40O"
"3018",-1,"C7H11O2"
"3019",-3,"C28H43N7O17P3S"
"3020",0,"C55H90O"
"3021",-2,"C55H90O7P2"
"3022",-3,"C86H140N7O21P2"
"3023",-2,"C5H11O7P"
"3024",-2,"C14H23N3O14P2"
"3025",-4,"C14H22N3O17P3"
"3026",-2,"C5H9O7P"
"3027",-2,"C5H10O9P2"
"3028",0,"C29H48O"
"3029",0,"C29H46O"
"3030",0,"C28H42O"
"3031",-1,"C14H9O4"
"3032",-1,"C14H9O4"
"3033",-2,"C7H13O10P"
"3034",-2,"C7H13O10P"
"3035",-4,"C7H12O13P2"
"3036",0,"C11H8O2"
"3037",0,"C14H10"
"3038",0,"C14H10O"
