"","x"
"556",0
"557",0
"558",0
"559",0
"560",0
"561",-1000
"562",-1000
"563",0
"564",-1000
"565",0
"566",-1000
"567",-1000
"568",-1000
"569",-1000
"570",0
"571",0
"572",0
"573",-1000
"574",0
"575",-1000
"576",-1000
"577",-1000
"578",0
"579",0
"580",0
"581",-1000
"582",-1000
"583",-1000
"584",0
"585",-1000
"586",-1000
"587",-1000
"588",0
"589",0
"590",-1000
"591",-1000
"592",-1000
"593",0
"594",0
"595",-1000
"596",0
"597",-1000
"598",-1000
"599",0
"600",-1000
"601",0
"602",0
"603",-1000
"604",-1000
"605",0
"606",0
"607",-1000
"608",0
"609",0
"610",0
"611",-1000
"612",-1000
"613",0
"614",-1000
"615",-1000
"616",-1000
"617",-1000
"618",0
"619",-1000
"620",0
"621",0
"622",-1000
"623",0
"624",-1000
"625",-1000
"626",0
"627",0
"628",0
"629",0
"630",0
"631",-1000
"632",-1000
"633",-1000
"634",-1000
"635",-1000
"636",-1000
"637",-1000
"638",-1000
"639",0
"640",0
"641",0
"642",0
"643",-1000
"644",0
"645",-1000
"646",0
"647",0
"648",0
"649",0
"650",-1000
"651",-1000
"652",-1000
"653",0
"654",-1000
"655",-1000
"656",0
"657",0
"658",0
"659",0
"660",0
"661",-1000
"662",0
"663",0
"664",0
"665",0
"666",0
"667",0
"668",0
"669",-1000
"670",-1000
"671",0
"672",0
"673",0
"674",0
"675",0
"676",0
"677",0
"678",0
"679",-1000
"680",0
"681",0
"682",0
"683",-1000
"684",-1000
"685",0
"686",0
"687",-1000
"688",0
"689",-1000
"690",0
"691",0
"692",0
"693",0
"694",-1000
"695",-1000
"696",0
"697",0
"698",0
"699",0
"700",0
"701",0
"702",0
"703",0
"704",-1000
"705",0
"706",-1000
"707",-1000
"708",-1000
"709",-1000
"710",0
"711",0
"712",0
"713",0
"714",0
"715",0
"716",-1000
"717",0
"718",0
"719",-1000
"720",-1000
"721",-1000
"722",0
"723",0
"724",-1000
"725",-1000
"726",-1000
"727",-1000
"728",-1000
"729",-1000
"730",-1000
"731",-1000
"732",-1000
"733",-1000
"734",0
"735",0
"736",0
"737",-1000
"738",-1000
"739",-1000
"740",-1000
"741",-1000
"742",0
"743",-1000
"744",-1000
"745",-1000
"746",0
"747",-1000
"748",-1000
"749",0
"750",-1000
"751",-1000
"752",-1000
"753",0
"754",0
"755",0
"756",0
"757",0
"758",0
"759",-1000
"760",-1000
"761",-1000
"762",-1000
"763",0
"764",0
"765",-1000
"766",0
"767",-1000
"768",-1000
"769",-1000
"770",0
"771",-1000
"772",-1000
"773",0
"774",-1000
"775",-1000
"776",0
"777",0
"778",0
"779",0
"780",-1000
"781",0
"782",0
"783",-1000
"784",-1000
"785",0
"786",0
"787",0
"788",0
"789",-1000
"790",0
"791",0
"792",-1000
"793",0
"794",0
"795",-1000
"796",0
"797",-1000
"798",0
"799",0
"800",-1000
"801",0
"802",0
"803",-1000
"804",-1000
"805",-1000
"806",-1000
"807",-1000
"808",0
"809",-1000
"810",-1000
"811",-1000
"812",-1000
"813",0
"814",-1000
"815",0
"816",0
"817",0
"818",0
"819",-1000
"820",-1000
"821",-1000
"822",-1000
"823",-1000
"824",0
"825",0
"826",-1000
"827",0
"828",-1000
"829",0
"830",0
"831",-1000
"832",-1000
"833",0
"834",0
"835",-1000
"836",-1000
"837",-1000
"838",-1000
"839",-1000
"840",-1000
"841",-1000
"842",-1000
"843",0
"844",-1000
"845",-1000
"846",-1000
"847",0
"848",0
"849",-1000
"850",0
"851",0
"852",0
"853",0
"854",0
"855",0
"856",-1000
"857",-1000
"858",-1000
"859",0
"860",0
"861",0
"862",-1000
"863",-1000
"864",-1000
"865",-1000
"866",0
"867",-1000
"868",0
"869",0
"870",-1000
"871",-1000
"872",0
"873",-1000
"874",0
"875",-1000
"876",0
"877",0
"878",-1000
"879",-1000
"880",0
"881",0
"882",0
"883",0
"884",0
"885",0
"886",-1000
"887",-1000
"888",-1000
"889",-1000
"890",-1000
"891",0
"892",0
"893",0
"894",0
"895",0
"896",0
"897",0
"898",-1000
"899",-1000
"900",0
"901",0
"902",0
"903",0
"904",-1000
"905",-1000
"906",0
"907",0
"908",0
"909",0
"910",-1000
"911",0
"912",-1000
"913",0
"914",-1000
"915",-1000
"916",-1000
"917",0
"918",-1000
"919",0
"920",0
"921",-1000
"922",0
"923",-1000
"924",-1000
"925",-1000
"926",0
"927",-1000
"928",-1000
"929",-1000
"930",0
"931",0
"932",-1000
"933",-1000
"934",0
"935",-1000
"936",-1000
"937",0
"938",0
"939",-1000
"940",0
"941",-1000
"942",-1000
"943",-1000
"944",-1000
"945",0
"946",-1000
"947",-1000
"948",-1000
"949",-1000
"950",-1000
"951",-1000
"952",-1000
"953",-1000
"954",-1000
"955",-1000
"956",0
"957",0
"958",-1000
"959",-1000
"960",0
"961",-1000
"962",-1000
"963",-1000
"964",-1000
"965",0
"966",0
"967",0
"968",-1000
"969",-1000
"970",-1000
"971",-1000
"972",-1000
"973",-1000
"974",-1000
"975",-1000
"976",0
"977",0
"978",0
"979",0
"980",0
"981",-1000
"982",0
"983",-1000
"984",0
"985",-1000
"986",-1000
"987",-1000
"988",-1000
"989",-1000
"990",0
"991",-1000
"992",-1000
"993",0
"994",0
"995",-1000
"996",0
"997",0
"998",-1000
"999",-1000
"1000",0
"1001",0
"1002",0
"1003",-1000
"1004",-1000
"1005",0
"1006",0
"1007",-1000
"1008",-1000
"1009",0
"1010",0
"1011",0
"1012",0
"1013",-1000
"1014",-1000
"1015",0
"1016",-1000
"1017",0
"1018",-1000
"1019",0
"1020",-1000
"1021",0
"1022",0
"1023",0
"1024",0
"1025",0
"1026",-1000
"1027",-1000
"1028",0
"1029",0
"1030",0
"1031",-1000
"1032",-1000
"1033",0
"1034",-1000
"1035",-1000
"1036",0
"1037",0
"1038",-1000
"1039",-1000
"1040",0
"1041",0
"1042",-1000
"1043",-1000
"1044",-1000
"1045",-1000
"1046",0
"1047",0
"1048",0
"1049",-1000
"1050",-1000
"1051",0
"1052",-1000
"1053",0
"1054",0
"1055",-1000
"1056",-1000
"1057",0
"1058",0
"1059",-1000
"1060",0
"1061",-1000
"1062",0
"1063",-1000
"1064",0
"1065",0
"1066",0
"1067",0
"1068",0
"1069",0
"1070",0
"1071",-1000
"1072",-1000
"1073",0
"1074",-1000
"1075",-1000
"1076",-1000
"1077",-1000
"1078",0
"1079",-1000
"1080",0
"1081",-1000
"1082",-1000
"1083",-1000
"1084",0
"1085",-1000
"1086",-1000
"1087",0
"1088",-1000
"1089",0
"1090",0
"1091",0
"1092",0
"1093",0
"1094",0
"1095",0
"1096",-1000
"1097",0
"1098",0
"1099",-1000
"1100",-1000
"1101",-1000
"1102",-1000
"1103",0
"1104",0
"1105",-1000
"1106",0
"1107",0
"1108",0
"1109",0
"1110",-1000
"1111",0
"1112",0
"1113",0
"1114",0
"1115",0
"1116",0
"1117",0
"1118",0
"1119",0
"1120",0
"1121",0
"1122",0
"1123",-1000
"1124",-1000
"1125",-1000
"1126",-1000
"1127",-1000
"1128",0
"1129",0
"1130",0
"1131",-1000
"1132",0
